|     *Date* | *Day Serial* | *Session Serial* | *Program Serial* | *Speaker* | *Lecture Serial* |
| 2019-06-17 |            1 |                1 |                1 | Pfenning  |                1 |
| 2019-06-17 |            1 |                2 |                2 | Silva     |                1 |
| 2019-06-17 |            1 |                3 |                3 | Pfenning  |                2 |
| 2019-06-17 |            1 |                4 |                4 | Silva     |                2 |
| 2019-06-18 |            2 |                1 |                5 | Myers     |                1 |
| 2019-06-18 |            2 |                2 |                6 | Pfenning  |                3 |
| 2019-06-18 |            2 |                3 |                7 | Myers     |                2 |
| 2019-06-19 |            3 |                1 |                8 | Pfenning  |                4 |
| 2019-06-19 |            3 |                2 |                9 | Harper    |                1 |
| 2019-06-19 |            3 |                3 |               10 | Myers     |                3 |
| 2019-06-19 |            3 |                4 |               11 | Silva     |                3 |
| 2019-06-20 |            4 |                1 |               12 | Myers     |                4 |
| 2019-06-20 |            4 |                2 |               13 | Harper    |                2 |
| 2019-06-20 |            4 |                3 |               14 | Hoffmann  |                1 |
| 2019-06-20 |            4 |                4 |               15 | Silva     |                4 |
| 2019-06-21 |            5 |                1 |               16 | Hoffmann  |                2 |
| 2019-06-21 |            5 |                2 |               17 | Harper    |                3 |
| 2019-06-21 |            5 |                3 |               18 | Hoffmann  |                3 |
| 2019-06-21 |            5 |                4 |               19 | Pfenning  |                5 |
| 2019-06-22 |            6 |                1 |               20 | Hoffmann  |                4 |
| 2019-06-22 |            6 |                2 |               21 | Harper    |                4 |
| 2019-06-24 |            7 |                1 |               22 | Ahmed     |                1 |
| 2019-06-24 |            7 |                2 |               23 | Gordon    |                1 |
| 2019-06-24 |            7 |                3 |               24 | Ahmed     |                2 |
| 2019-06-25 |            8 |                1 |               25 | Henglein  |                1 |
| 2019-06-25 |            8 |                2 |               26 | Ahmed     |                3 |
| 2019-06-25 |            8 |                3 |               27 | Gordon    |                2 |
| 2019-06-25 |            8 |                4 |               28 | Leino     |                1 |
| 2019-06-26 |            9 |                1 |               29 | Ahmed     |                4 |
| 2019-06-26 |            9 |                2 |               30 | Swamy     |                1 |
| 2019-06-26 |            9 |                3 |               31 | Henglein  |                2 |
| 2019-06-26 |            9 |                4 |               32 | Gordon    |                3 |
| 2019-06-27 |           10 |                1 |               33 | Henglein  |                3 |
| 2019-06-27 |           10 |                2 |               34 | Staton    |                1 |
| 2019-06-27 |           10 |                3 |               35 | Swamy     |                2 |
| 2019-06-27 |           10 |                4 |               36 | Henglein  |                4 |
| 2019-06-28 |           11 |                1 |               37 | Staton    |                2 |
| 2019-06-28 |           11 |                2 |               38 | Swamy     |                3 |
| 2019-06-28 |           11 |                3 |               39 | Staton    |                3 |
| 2019-06-29 |           12 |                1 |               40 | Swamy     |                4 |
| 2019-06-29 |           12 |                2 |               41 | Staton    |                4 |
